id,country,state,district,road_type,department,name,designation,email,phone,office_address
28,United States,California,Los Angeles,US Highway,Caltrans,Juan Garcia,District Director,district7@dot.ca.gov,+1-213-897-3660,"Caltrans District 7, 100 S Main Street, Los Angeles, CA 90012"
29,Bangladesh,Dhaka,,NH,RHD Bangladesh,Engr. Md. Rafiqul Islam,Executive Engineer,ee.dhaka@rhd.gov.bd,+880-2-9559-453,"RHD Divisional Office, Farmgate, Dhaka 1215"
30,South Africa,Western Cape,,National Route,SANRAL,Sipho Dlamini,Regional Manager,sanral.western@nra.co.za,+27-21-529-5000,"SANRAL Western Region, 41 De Havilland Crescent, Persequor Park, Pretoria"
31,Poland,Lesser Poland,,European Route,GDDKiA,Jan Kowalski,Regional Director,regional@gddkia.gov.pl,+48-12-296-0001,"GDDKiA, ul. Mogilska 25, 31-542 Krakow, Poland"
32,Germany,Saxony-Anhalt,,Autobahn,BASt / DEGES,Dipl.-Ing. Klaus Hoffmann,Projektleiter,projekt@deges.de,+49-30-20243-200,"DEGES GmbH, Zimmerstraße 54, 10117 Berlin, Germany"
33,Australia,Queensland,,Motorway,Queensland TMR,Sarah Thompson,Regional Director,info@tmr.qld.gov.au,+61-7-3066-8801,"TMR Queensland, 80 George Street, Brisbane QLD 4000, Australia"
34,Nigeria,Ogun,,Expressway,FERMA Nigeria,Engr. Chukwuemeka Obi,Project Manager,projects@ferma.gov.ng,+234-9-460-2305,"FERMA Headquarters, Abuja, Federal Capital Territory, Nigeria"
35,Kenya,Coast Province,,National Highway,KeNHA,Eng. James Mwangi,Project Director,info@kenha.co.ke,+254-20-249-0010,"KeNHA Headquarters, Blue Shield Towers, Upper Hill, Nairobi 00100"
36,Japan,Kanagawa,,Expressway,NEXCO East,Tanaka Hiroshi,Branch Manager,info@e-nexco.co.jp,+81-3-5338-8687,"NEXCO East, 1-6-1 Marunouchi, Chiyoda-ku, Tokyo 100-8067, Japan"
37,Malaysia,Pahang,,Expressway,PLUS Expressways Berhad,Ir. Ahmad Zaki,Project Director,info@plus.com.my,+60-3-5891-1213,"PLUS Expressways Berhad, Persada PLUS, Persiaraan Diplomatic Seksyen 5, Putrajaya 62200"
