id,road_id,road_name,road_type,country,state,district,contractor_name,contractor_contact,executive_engineer,ee_email,ee_phone,department,total_length_km,construction_date,last_relayed_date,next_maintenance,surface_type,condition_score,condition_label,budget_sanctioned,budget_spent,currency,financial_year,data_source,data_source_label,lat_start,lon_start,lat_end,lon_end,lat_center,lon_center,created_at
11,VR-12-MP,Bhopal–Berasia Village Road,VR,India,Madhya Pradesh,Bhopal,Narmada Construction,+91-755-2666-543,Er. Pooja Tiwari,ee.vr12.bpl@mppwd.gov.in,+91-755-2554-321,Madhya Pradesh PWD — Bhopal Division,42.0,2010-01-01,2017-04-01,2021-04-01,Bituminous,2.3,Critical,310000000.0,180000000.0,INR,2024-25,https://mppwd.gov.in/vr-projects/bhopal,MP PWD Portal,23.2599,77.4126,23.6128,77.4308,23.42,77.42,2026-05-31 04:39:41.488927
12,YEW,Yamuna Expressway,Expressway,India,Uttar Pradesh,Agra,Jaypee Infratech Ltd.,+91-565-2520-100,Er. Vivek Gupta,ee@yamunaexpressway.com,+91-565-2521-200,Yamuna Expressway Industrial Development Authority,165.0,2012-08-09,2024-01-15,2027-01-15,Rigid Pavement (Cement),9.1,Excellent,12600000000.0,12550000000.0,INR,2024-25,https://yamunaexpressway.com/project-details,YEIDA Official Portal,28.4595,77.0266,27.1767,78.0081,27.8181,77.5174,2026-05-31 04:39:41.488927
13,PUNE-EXP,Mumbai–Pune Expressway,Expressway,India,Maharashtra,Pune,Maharashtra State Road Development Corp.,+91-22-2261-6600,Er. Sunil Deshmukh,ee@msrdc.gov.in,+91-22-2261-6601,Maharashtra State Road Development Corporation,94.5,2002-04-28,2023-11-01,2026-11-01,Bituminous,8.7,Excellent,8500000000.0,8490000000.0,INR,2024-25,https://msrdc.org/mumbai-pune-expressway,MSRDC Official Portal,18.9667,72.8333,18.5204,73.8567,18.7436,73.345,2026-05-31 04:39:41.488927
14,M1-UK,M1 Motorway — London to Leeds,Motorway,United Kingdom,England,Multiple,National Highways (Highways England),+44-300-123-5000,David Collins (Regional Director),regional.east@nationalhighways.co.uk,+44-300-123-5001,National Highways England,311.0,1959-11-02,2022-04-01,2025-04-01,Tarmac,8.5,Excellent,420000000.0,398000000.0,GBP,2024-25,https://nationalhighways.co.uk/m1-project,National Highways England — Project Portal,51.5074,-0.1278,53.7997,-1.5492,52.54,-1.0,2026-05-31 04:39:41.488927
15,A9-UK,A9 Road — Inverness to Perth,A-Road,United Kingdom,Scotland,Highland,Transport Scotland,+44-141-272-7100,Alan MacDonald (Project Director),a9.dualling@transport.gov.scot,+44-141-272-7105,Transport Scotland,180.0,1925-01-01,2021-09-15,2025-09-15,Tarmac,7.0,Good,3200000000.0,2800000000.0,GBP,2024-25,https://transport.gov.scot/a9-dualling,Transport Scotland — A9 Dualling Programme,57.4778,-4.2247,56.395,-3.4312,56.9364,-3.828,2026-05-31 04:39:41.488927
16,I-95-US,Interstate 95 — East Coast Corridor,Interstate Highway,United States,Florida,Miami-Dade,FDOT District 6,+1-305-470-5300,Maria Rodriguez (District Secretary),district6@dot.state.fl.us,+1-305-470-5301,Florida Department of Transportation,3122.0,1958-01-01,2023-01-15,2027-01-15,Asphalt Concrete,7.2,Good,2800000000.0,2650000000.0,USD,2024-25,https://fdot.gov/projects/i95-improvement,FDOT Project Tracker,25.7617,-80.1918,47.6062,-122.3321,35.0,-80.0,2026-05-31 04:39:41.488927
17,US-101,US Route 101 — Pacific Coast Highway,US Highway,United States,California,Los Angeles,Caltrans District 7,+1-213-897-3656,Juan Garcia (District Director),district7@dot.ca.gov,+1-213-897-3660,California Department of Transportation (Caltrans),2369.0,1926-01-01,2022-06-01,2026-06-01,Asphalt Concrete,6.8,Good,1200000000.0,1050000000.0,USD,2024-25,https://dot.ca.gov/programs/maintenance/us101,Caltrans District 7 — Project Portal,34.0522,-118.2437,48.5126,-122.6127,40.0,-120.5,2026-05-31 04:39:41.488927
18,AH1-BD,Asian Highway 1 — Dhaka Segment,NH,Bangladesh,Dhaka,Dhaka,Roads & Highways Dept. Bangladesh,+880-2-9559-452,Engr. Md. Rafiqul Islam,ee.ah1@rhd.gov.bd,+880-2-9559-453,"Roads and Highways Department, Bangladesh",358.0,1980-01-01,2020-12-01,2024-12-01,Bituminous,5.1,Fair,12000000000.0,9800000000.0,BDT,2024-25,https://rhd.gov.bd/asian-highway-1,Bangladesh Roads & Highways Dept.,23.8103,90.4125,24.3636,88.5894,24.0,90.0,2026-05-31 04:39:41.488927
19,N1-ZA,N1 National Route — Cape Town to Johannesburg,National Route,South Africa,Western Cape,Cape Town,SANRAL (South African National Roads Agency),+27-12-844-8000,Sipho Dlamini (Regional Manager),sanral.western@nra.co.za,+27-21-529-5000,South African National Roads Agency Ltd.,1400.0,1970-01-01,2021-07-20,2025-07-20,Asphalt,7.9,Good,3200000000.0,2900000000.0,ZAR,2024-25,https://www.nra.co.za/n1-route,SANRAL Project Portal,-33.9249,18.4241,-26.2041,28.0473,-30.0,22.0,2026-05-31 04:39:41.488927
20,RN7-MG,Route Nationale 7 — Antananarivo to Toliara,National Route,Madagascar,Analamanga,Antananarivo,MOTA-ENGIL Africa,+261-20-22-266-00,Olivier Rakoto (Directeur Régional),direction.routes@mtpm.mg,+261-20-22-266-01,Ministère des Travaux Publics et de la Météorologie,960.0,1960-01-01,2016-05-10,2020-05-10,Bituminous,2.1,Critical,85000000.0,42000000.0,MGA,2024-25,https://mtpm.mg/routes-nationales/rn7,Madagascar Ministry of Public Works,-18.9137,47.5361,-23.35,43.6667,-21.1,45.6,2026-05-31 04:39:41.488927
21,E40-PL,E40 European Route — Krakow–Rzeszow Segment,European Route,Poland,Lesser Poland,Krakow,Budimex S.A.,+48-12-296-0000,Jan Kowalski (Regional Director),regional@gddkia.gov.pl,+48-12-296-0001,General Directorate for National Roads and Motorways (GDDKiA),156.0,1985-01-01,2023-04-01,2026-04-01,Asphalt,8.0,Good,620000000.0,598000000.0,PLN,2024-25,https://www.gddkia.gov.pl/pl/a/46735,GDDKiA Poland — Project Portal,50.0614,19.9366,50.0412,22.0046,50.0513,21.0,2026-05-31 04:39:41.488927
22,NH-27,East-West Corridor — Silchar Segment,NH,India,Assam,Silchar,Gauhati Highways Pvt. Ltd.,+91-3842-230-456,Er. Biplab Nath,ee.nh27.as@nhai.gov.in,+91-3842-232-789,NHAI — Regional Office Guwahati,1428.0,1975-01-01,2021-03-20,2024-03-20,Bituminous,5.8,Fair,18500000000.0,11800000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-27-east-west-corridor,NHAI Project Portal,26.7271,94.1086,24.8333,92.7789,24.8333,92.7789,2026-05-31 04:39:41.488927
23,NH-52,Assam–Arunachal Highway,NH,India,Assam,Guwahati,Northeast Roads Consortium,+91-361-2336-100,Er. Dilip Bora,ee.nh52.as@nhai.gov.in,+91-361-2337-200,NHAI — Regional Office Guwahati,723.0,1980-01-01,2018-08-10,2022-08-10,Bituminous,3.9,Poor,9200000000.0,5600000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-52-assam-arunachal,NHAI Project Portal,26.1445,91.7362,27.533,94.622,26.1445,91.7362,2026-05-31 04:39:41.488927
24,NH-58-UK,Rishikesh–Badrinath Highway,NH,India,Uttarakhand,Chamoli,NHIDCL (National Highways & Industrial Development Corp.),+91-135-2710-200,Er. Sudhanshu Rawat,ee.nh58.uk@nhidcl.in,+91-135-2710-345,NHIDCL — Uttarakhand Zone,323.0,1962-01-01,2019-05-15,2022-05-15,Bituminous,3.2,Poor,6800000000.0,4000000000.0,INR,2024-25,https://nhidcl.in/projects/nh-58-rishikesh-badrinath,NHIDCL Project Portal,30.0869,78.2676,30.7433,79.4926,30.415,78.88,2026-05-31 04:39:41.488927
25,NH-5-TG,Nagpur–Hyderabad Highway,NH,India,Telangana,Nizamabad,Megha Engineering & Infrastructures Ltd.,+91-40-6741-2000,Er. Ramakrishna Reddy,ee.nh5.tg@nhai.gov.in,+91-40-6741-2100,NHAI — Regional Office Hyderabad,511.0,1970-01-01,2021-07-10,2024-07-10,Bituminous,5.4,Fair,14500000000.0,12100000000.0,INR,2024-25,https://nhai.gov.in/projects/nh-5-nagpur-hyderabad,NHAI Project Portal,21.1458,79.0882,17.385,78.4867,18.6725,78.7875,2026-05-31 04:39:41.488927
26,SH-9-GJ,Ahmedabad–Vadodara State Highway,SH,India,Gujarat,Ahmedabad,Patel Infrastructure Ltd.,+91-79-2658-3000,Er. Hitesh Patel,ee.sh9.gj@gujarat.gov.in,+91-79-2325-4567,Gujarat Roads and Buildings Department,109.0,1988-01-01,2022-10-05,2025-10-05,Bituminous,7.4,Good,2200000000.0,2080000000.0,INR,2024-25,https://r-b.gujarat.gov.in/sh9-project,Gujarat R&B Department Portal,23.0225,72.5714,22.3072,73.1812,22.6648,72.8763,2026-05-31 04:39:41.488927
27,SH-12-WB,Kolkata–Durgapur State Highway,SH,India,West Bengal,Kolkata,Simplex Infrastructures,+91-33-4010-1000,Er. Subrata Chatterjee,ee.sh12.wb@wbpwd.gov.in,+91-33-2357-8900,West Bengal Public Works Department,161.0,1985-01-01,2019-09-01,2023-09-01,Bituminous,4.7,Poor,3100000000.0,1900000000.0,INR,2024-25,https://wbpwd.gov.in/sh12-project,West Bengal PWD Portal,22.5726,88.3639,23.48,87.32,23.0263,87.842,2026-05-31 04:39:41.488927
28,MDR-15-TS,Hyderabad Outer Ring Road,MDR,India,Telangana,Hyderabad,NCC Ltd. (Nagarjuna Construction Company),+91-40-2340-0000,Er. Venkat Rao,ee.mdr15.ts@tgsrdc.gov.in,+91-40-2340-0100,Telangana State Roads & Buildings Department,158.0,2008-03-01,2023-02-20,2026-02-20,Bituminous,8.2,Good,5400000000.0,5310000000.0,INR,2024-25,https://tgsrdc.gov.in/projects/hyderabad-orr,Telangana SRDC Portal,17.485,78.3867,17.485,78.5867,17.485,78.4867,2026-05-31 04:39:41.488927
29,PMGSY-OD-04,Bhubaneswar–Puri PMGSY Road,PMGSY,India,Odisha,Puri,Odisha Construction Corporation,+91-674-2392-100,Er. Prasanta Nayak,ee.pmgsy.od04@pmgsy.gov.in,+91-674-2560-789,Odisha Rural Development Department — PMGSY Cell,65.0,2014-01-01,2016-11-20,2020-11-20,Bituminous,2.5,Critical,780000000.0,410000000.0,INR,2024-25,https://pmgsy.nic.in/omms/road/od04,PMGSY OMMS National Portal,20.2961,85.8245,19.8135,85.8312,20.0548,85.8278,2026-05-31 04:39:41.488927
30,A14-DE,Autobahn A14 — Leipzig to Magdeburg,Autobahn,Germany,Saxony-Anhalt,Halle,DEGES GmbH,+49-30-20243-0,Dipl.-Ing. Klaus Hoffmann (Projektleiter),projekt@deges.de,+49-30-20243-200,DEGES — Deutsche Einheit Fernstraßenplanungs- und -bau GmbH,176.0,2000-01-01,2023-05-01,2028-05-01,Asphalt Concrete,9.3,Excellent,680000000.0,672000000.0,EUR,2024-25,https://www.bast.de/DE/Strassentechnik/Projekte/A14.html,BASt — Bundesanstalt für Straßenwesen,51.3397,12.3731,52.1205,11.6276,51.7301,12.0004,2026-05-31 04:39:41.488927
31,M1-AU,Pacific Motorway M1 — Gold Coast,Motorway,Australia,Queensland,Gold Coast,Queensland Department of Transport and Main Roads,+61-7-3066-8800,Sarah Thompson (Regional Director),info@tmr.qld.gov.au,+61-7-3066-8801,Queensland Department of Transport and Main Roads (TMR),97.0,1981-01-01,2023-08-01,2027-08-01,Asphalt,8.8,Excellent,520000000.0,511000000.0,AUD,2024-25,https://www.tmr.qld.gov.au/projects/pacific-motorway,Queensland TMR — Pacific Motorway Project,-27.4698,153.0251,-28.0167,153.4,-27.9947,153.3145,2026-05-31 04:39:41.488927
32,E1-NG,Lagos–Ibadan Expressway,Expressway,Nigeria,Ogun,Sagamu,Julius Berger Nigeria Plc,+234-9-460-2300,Engr. Chukwuemeka Obi (Project Manager),projects@juliusberger.com,+234-9-460-2305,Federal Roads Maintenance Agency (FERMA),127.0,1978-01-01,2017-04-01,2021-04-01,Bituminous,3.6,Poor,185000000000.0,110000000000.0,NGN,2024-25,https://ferma.gov.ng/projects/lagos-ibadan-expressway,FERMA Nigeria — Project Portal,6.5244,3.3792,7.3775,3.947,6.951,3.6631,2026-05-31 04:39:41.488927
33,A1-KE,Nairobi–Mombasa Highway,National Highway,Kenya,Coast Province,Mombasa,China Road and Bridge Corporation (CRBC),+254-20-249-0000,Eng. James Mwangi (Project Director),info@kenha.co.ke,+254-20-249-0010,Kenya National Highways Authority (KeNHA),485.0,1963-01-01,2020-10-01,2024-10-01,Bituminous,5.2,Fair,28000000000.0,21000000000.0,KES,2024-25,https://www.kenha.co.ke/projects/a1-nairobi-mombasa,KeNHA — Kenya National Highways Authority,-1.2921,36.8219,-4.0435,39.6682,-2.6678,38.2451,2026-05-31 04:39:41.488927
34,KNO-3-JP,Tomei Expressway — Tokyo to Nagoya,Expressway,Japan,Kanagawa,Yokohama,East Nippon Expressway Company (NEXCO East),+81-3-5338-8686,Tanaka Hiroshi (Branch Manager),info@e-nexco.co.jp,+81-3-5338-8687,NEXCO East — East Nippon Expressway Co. Ltd.,346.0,1969-05-26,2024-02-10,2029-02-10,Asphalt Concrete,9.5,Excellent,85000000000.0,84800000000.0,JPY,2024-25,https://www.e-nexco.co.jp/road_info/traffic_info/tomei,NEXCO East — Tomei Expressway Project,35.6895,139.6917,35.1815,136.9066,35.4355,138.2992,2026-05-31 04:39:41.488927
35,EAST-PEY,East Coast Expressway — Kuantan Segment,Expressway,Malaysia,Pahang,Kuantan,PLUS Expressways Berhad,+60-3-5891-1212,Ir. Ahmad Zaki (Project Director),info@plus.com.my,+60-3-5891-1213,PLUS Expressways Berhad — East Malaysia Division,189.0,2002-01-01,2022-12-01,2026-12-01,Asphalt,7.9,Good,1800000000.0,1740000000.0,MYR,2024-25,https://www.plus.com.my/en/projects/east-coast-expressway,PLUS Expressways — East Coast Expressway,3.8077,103.326,4.24,103.02,3.8077,103.326,2026-05-31 04:39:41.488927
